pm10,pm2_5,co,no2,o3,so2,cluster
34.0,99.0,2.5500000000000007,5.0,25.2,0.7,0
33.0,1.0,0.1,1.0,28.9,0.6499999999999991,1
34.0,16.0,0.1,13.9,16.1712,0.6,1
,29.0,7.5,7.450000000000006,4.3,1.4,2
3.0,4.0,0.1,0.2,10.5,0.4,2
20.0,55.0,3.8000000000000007,12.4,22.8,0.899999999999999,4
12.0,16.0,0.1,6.5,0.1,0.4,2
28.0,68.0,2.2,16.2,1.6,,0
12.0,25.0,5.9,29.1,27.4,3.9,1
40.0,76.0,6.4,18.8,45.5,4.1,0
21.0,28.0,1.2,1.0,18.4,3.999999999999999,4
29.0,56.0,3.800000000000001,19.6,33.1,8.8,4
9.0,1.0,3.4,9.3,37.6,1.5,1
19.0,17.0,1.9,4.2,30.4,0.2,1
16.0,30.0,2.1,1.7,47.2,0.3,1
16.0,23.0,0.1,9.2,1.7,0.2499999999999991,2
11.0,34.0,0.1,4.6,24.44999999999999,0.3,2
48.0,39.0,0.1,10.3,12.0,2.0,4
29.5,36.5,0.1,7.450000000000005,12.0,2.0,2
48.0,39.0,0.1,10.3,14.1,2.0,2
85.0,89.0,3.7,9.6,47.6,3.1,3
15.0,35.0,0.1,10.7,30.849999999999987,2.3,2
31.0,73.0,5.2,7.8,22.1,4.2,0
23.0,102.0,2.650000000000001,9.250000000000004,22.1,3.249999999999999,0
31.0,61.0,5.2,7.8,22.1,4.2,0
11.0,34.0,,6.1,26.4,0.7,4
15.0,34.0,2.8,2.8,40.7,3.1,4
10.0,21.0,0.1,2.8,28.1,1.899999999999999,1
20.0,46.0,0.1,24.7,31.3,3.1,4
20.0,33.0,0.1,6.9,23.2,,4
14.0,39.5,2.8,1.9,27.249999999999982,,2
14.0,22.0,0.1,8.7,28.1,1.1,1
10.0,20.0,12.7,1.6,28.1,1.0,2
16.0,42.0,5.3,6.3,6.6,3.6,4
13.0,6.0,9.000000000000002,3.9500000000000046,6.6,2.3,2
12.0,23.0,2.7,2.3,31.0,0.4,1
11.0,27.0,1.2,9.7,28.9,0.8,1
79.0,117.0,3.7,6.1,63.3,6.3,3
16.0,30.0,2.450000000000001,1.4,29.9,0.3,4
24.0,55.0,0.1,18.3,46.59999999999998,0.5,0
17.0,36.0,0.1,19.2,16.4,0.5,4
15.0,10.0,6.7,20.5,0.8,0.3,2
17.0,49.0,3.4000000000000012,1.5,8.599999999999985,0.3999999999999996,4
16.0,34.0,6.7,11.000000000000002,16.8,0.3,4
60.0,55.0,3.5,3.1,16.8,,0
12.0,30.0,0.1,4.6,22.4,1.6,4
56.0,120.0,0.1,42.0,22.4,1.6,3
34.0,75.0,0.1,2.5,20.0,0.3,1
13.0,30.0,0.6,22.25,20.0,2.9,2
17.0,26.0,0.1,0.6,10.5,1.9,2
15.0,42.0,0.3500000000000009,0.6,10.5,2.3999999999999995,2
17.0,120.0,0.1,0.6,10.5,1.9,0
,81.0,,,,,2
,34.0,,,,,2
23.0,64.0,6.5,6.0,9.3,2.6,0
4.0,13.0,0.1,6.0,31.9,1.0,1
12.0,31.0,3.3000000000000007,2.8,30.2,0.6,4
8.0,45.0,0.1,13.0,28.6,0.7999999999999996,4
29.0,30.0,0.1,7.8,12.4,1.6,4
29.0,37.5,0.1,10.4,20.49999999999999,1.6,2
11.0,41.0,1.5,3.8,8.0,0.8,4
21.0,53.0,10.0,34.3,6.4,1.5,0
26.0,40.0,1.0,19.049999999999997,13.0,0.1,4
11.0,30.0,0.1,17.0,9.699999999999985,0.7999999999999995,2
110.0,93.0,1.3,1.6,11.6,14.9,3
60.5,61.5,0.7000000000000011,9.3,11.6,14.9,2
110.0,12.0,1.3,1.6,11.6,14.9,2
,5.0,,,,,2
32.0,52.0,0.1,33.6,20.5,0.6,4
34.0,99.0,0.1,5.0,25.2,0.7,0
33.0,1.0,0.1,1.0,28.9,0.6499999999999999,1
12.0,16.0,,6.5,0.1,0.7,2
28.0,68.0,2.2,16.2,1.6,,0
12.0,25.0,5.9,29.1,27.4,3.9,1
81.0,170.0,11.8,18.3,94.2,6.1,3
40.0,76.0,6.4,18.8,45.5,4.1,0
21.0,28.0,1.2,1.0,18.4,5.1,4
9.0,1.0,3.4,9.3,37.6,1.5,1
15.0,17.0,1.9,4.2,30.4,0.2,1
16.0,30.0,2.1,1.7,47.2,0.3,1
16.0,23.0,0.1,9.2,1.7,0.25,2
11.0,34.0,0.1,4.6,24.449999999999985,0.3,2
48.0,39.0,0.1,10.3,12.0,2.0,4
29.5,36.5,0.1,7.450000000000001,12.0,2.0,2
48.0,39.0,0.1,10.3,14.1,2.0,2
10.0,1.0,3.4,7.5,36.8,4.3,1
15.0,35.0,0.1,10.7,25.449999999999985,2.3,2
9.0,64.0,1.75,2.3,29.3,12.6,4
9.0,64.0,0.1,2.3,29.3,12.6,4
5.0,13.0,,3.2,27.3,12.6,1
7.0,68.0,,2.75,28.29999999999999,12.6,0
18.0,34.0,,3.2,27.3,,2
18.0,21.0,4.5,7.0,15.2,,2
18.0,13.0,4.5,5.7,25.6,,1
,45.0,4.5,13.0,28.6,,4
10.0,22.0,0.1,3.2,11.0,0.3,2
11.0,75.0,6.7,44.0,6.2,1.8,0
56.0,120.0,0.1,42.0,8.599999999999985,1.05,3
20.0,55.0,3.4,12.4,22.8,1.8,4
17.0,61.0,0.1,22.3,45.6,5.8,4
17.0,20.0,2.4,4.6,36.7,5.1,1
17.0,13.0,5.0,5.2,24.1,0.2,1
49.0,62.0,3.7,14.7,14.7,0.6,0
17.0,20.0,2.4,4.6,36.7,5.1,1
14.0,41.0,2.8,1.9,25.699999999999985,2.8499999999999996,2
15.5,17.0,1.9,4.2,30.4,0.2,1
23.0,48.0,2.3499999999999996,6.4,30.4,0.2,4
34.0,70.0,0.1,1.8,16.2,0.6,0
28.5,38.0,0.1,30.6,16.2,0.6,2
69.0,126.0,5.1,11.7,31.8,7.9,3
69.0,57.0,5.1,21.150000000000002,31.8,7.9,0
11.0,1.0,2.3,9.3,48.8,1.5,1
110.0,93.0,1.3,1.6,11.6,14.9,3
20.0,33.0,1.7999999999999998,6.9,23.2,8.2,4
10.0,42.0,2.0,3.1,0.7,0.1,4
10.0,21.0,0.1,2.8,28.1,0.1,1
81.0,170.0,11.8,18.3,94.2,6.1,3
23.0,64.0,6.5,6.0,9.3,2.6,0
52.0,117.0,9.149999999999999,2.5,20.0,0.3,1
79.0,117.0,3.7,6.1,63.3,6.3,3
79.0,90.0,3.7,4.300000000000003,41.64999999999999,3.3,0
79.0,74.0,3.7,6.1,63.3,6.3,0
60.0,55.0,3.5,3.1,,,0
8.0,5.0,1.2,4.7,28.1,,1
27.0,21.0,2.5,12.8,20.3,1.6,4
23.0,55.0,1.85,12.5,24.199999999999996,1.6,0
16.0,42.0,5.3,6.3,6.6,3.6,4
35.0,67.0,4.4,18.9,3.9,3.5,0
23.0,52.0,4.85,7.4,5.249999999999993,3.55,0
20.0,38.0,0.1,6.9,24.0,0.6,4
11.0,41.0,1.5,3.8,8.0,0.8,4
20.0,24.0,7.1,42.5,0.8,0.7,2
6.0,32.5,4.3,2.8,15.5,1.1,2
48.0,39.0,0.1,10.3,12.0,2.0,4
27.0,57.0,0.1,6.550000000000004,13.749999999999993,1.55,0
48.0,23.0,0.1,9.2,1.7,2.0,2
15.0,53.0,4.5,6.5,42.4,1.5,4
10.0,1.0,3.4,7.5,36.8,4.3,1
34.0,17.0,3.95,13.8,39.59999999999999,7.6,2
15.0,10.0,6.7,20.5,0.8,0.3,2
28.0,68.0,2.2,16.2,1.6,3.9499999999999997,0
21.5,29.0,7.5,18.35,4.3,1.4,2
18.0,38.0,4.85,8.2,2.949999999999993,8.5,4
23.0,33.5,4.1,26.3,4.3,1.9,2
10.0,22.0,0.1,3.2,11.0,0.3,2
16.5,57.0,2.0999999999999996,14.750000000000005,11.0,1.0999999999999996,0
10.0,95.0,0.1,3.2,11.0,0.3,0
,5.0,,,,,2
,61.0,,,,,0
20.0,42.0,,,21.6,,4
20.0,120.0,,,21.6,,0
20.0,81.0,,,21.6,,2
24.0,55.0,0.1,18.3,,0.5,0
24.0,95.0,0.1,18.3,,0.5,0
24.0,1.0,0.1,1.0,37.4,0.5,1
21.0,28.0,1.2,1.0,18.4,,4
9.0,64.0,1.2,2.3,29.3,12.6,4
15.0,4.0,1.2,1.6500000000000035,23.84999999999999,12.6,2
17.0,36.0,0.1,19.2,28.7,0.5,4
33.0,20.0,3.0,12.0,7.0,0.5,2
8.0,5.0,0.1,1.4,21.6,1.6,1
18.0,33.0,1.55,7.8,14.299999999999992,1.6,2
13.0,193.0,0.1,4.600000000000003,21.6,1.6,3
21.0,53.0,10.0,34.3,6.4,1.5,0
49.0,78.0,4.3,14.6,12.1,5.9,0
35.0,65.5,7.15,24.450000000000003,9.249999999999993,3.7,2
79.0,117.0,3.7,6.1,63.3,6.3,3
79.0,12.0,3.7,6.1,63.3,6.3,2
5.0,99.0,1.9,7.8,13.0,6.3,0
17.0,26.0,1.9,7.8,13.0,0.2,2
40.0,78.0,5.7,25.4,22.3,0.9,0
28.5,102.0,5.7,25.4,22.3,0.55,0
40.0,6.0,5.7,25.4,22.3,0.9,2
,63.0,,,,,0
,34.0,,,,,2
20.0,21.0,4.0,,12.0,2.0,2
12.0,25.0,5.9,29.1,27.4,3.9,1
11.0,27.0,1.2,9.7,28.9,0.8,1
9.0,1.0,3.4,9.3,37.6,1.5,1
10.0,14.0,2.3,9.500000000000004,33.249999999999986,1.1500000000000001,2
9.0,19.0,3.4,9.3,37.6,1.5,2
32.0,52.0,0.1,33.6,20.5,0.6,4
32.0,72.0,0.1,33.6,19.2,3.8,0
32.0,15.0,6.4,3.7,20.0,5.1,1
19.0,47.0,2.7,7.1,22.6,0.9,4
15.0,34.0,0.1,4.6,21.29999999999999,2.999999999999999,2
48.0,74.0,7.9,24.5,58.9,5.0,0
53.0,59.0,14.0,31.0,58.9,32.0,0
28.0,62.0,10.95,23.9,23.3,18.5,0
40.5,95.0,14.0,27.449999999999996,23.3,32.0,0
21.0,78.5,,23.9,8.0,1.0,2
10.0,17.0,,5.2,24.8,0.2,1
12.0,31.0,,2.8,30.2,0.6,4
34.0,99.0,,5.0,25.2,0.7,0
7.0,13.0,,31.1,4.1,2.1,2
20.5,57.0,,18.05,14.649999999999991,1.4000000000000001,0
17.0,32.0,0.4,1.4,28.7,0.3,4
3.0,4.0,0.1,0.2,10.5,0.4,2
10.0,25.0,0.1,5.1,25.6,0.6,1
14.0,14.5,0.1,3.2,11.9,0.4999999999999998,2
11.0,34.0,0.1,6.1,26.4,0.7,4
14.0,34.0,,3.2,30.2,2.9,4
2.0,5.0,,4.65,28.299999999999994,1.7999999999999998,2
28.0,59.0,27.5,11.9,14.2,1.8,0
10.0,32.0,27.5,16.6,14.2,29.2,2
15.0,35.0,0.1,10.7,14.2,2.3,2
12.5,44.0,0.1,9.5,,15.749999999999998,4
18.0,38.0,0.1,8.2,,8.5,4
11.0,30.0,0.1,17.0,,8.5,2
11.0,16.0,0.1,12.600000000000001,30.5,8.5,1
10.0,21.0,0.1,2.8,28.1,,1
10.0,18.5,0.1,1.1,29.299999999999997,,2
22.0,38.0,0.1,8.7,21.0,3.8,4
5.0,4.0,0.1,1.6,24.1,1.6,1
17.0,21.0,0.1,2.6,29.8,1.9,1
45.0,37.0,0.1,6.0,26.949999999999996,1.75,4
12.0,26.0,0.1,9.0,29.8,1.9,2
10.0,8.0,,0.7,,,2
10.0,20.0,3.0,4.0,26.8,0.2,1
10.0,9.0,3.0,2.3499999999999996,26.8,0.2,2
17.0,57.0,2.2,10.6,26.8,0.6,0
27.0,52.0,0.1,2.7,,0.6,0
20.0,61.0,2.8,5.5,26.9,8.7,4
19.0,56.5,1.4499999999999997,12.0,26.9,4.6499999999999995,2
19.5,61.0,2.8,8.750000000000002,26.9,8.7,2
14.0,46.0,0.1,7.4,,,4
17.0,39.0,0.1,10.2,20.2,,4
12.0,5.0,0.1,3.5,34.7,0.1,1
16.0,36.0,0.1,19.2,28.7,0.5,4
28.0,62.0,0.1,23.9,23.3,0.3,0
10.0,33.0,0.1,7.6,25.999999999999993,0.5,2
12.0,30.0,0.1,4.6,22.4,1.6,4
8.0,6.0,0.1,1.3,22.4,1.6,2
9.0,10.0,0.1,2.950000000000002,22.4,1.6,2
20.0,50.0,0.1,15.1,17.9,1.0,4
40.0,102.0,1.7,11.5,9.8,4.6,0
1.0,4.0,0.9,13.3,13.849999999999993,2.8,2
20.5,53.0,1.7,11.5,9.8,4.6,4
33.0,32.0,,3.1,34.6,0.1,4
17.0,41.0,,7.8,29.7,0.1,4
34.0,99.0,,5.0,25.2,0.7,0
20.0,46.0,0.1,24.7,31.3,0.7,4
1.0,5.0,2.3,18.6,29.4,3.4,1
5.0,10.0,1.2,2.1,30.0,3.4,1
32.0,52.0,0.1,33.6,20.5,0.6,4
27.0,21.0,2.5,12.8,20.3,1.6,4
7.0,9.0,1.3,0.8,20.39999999999999,1.1000000000000003,2
23.0,15.0,4.1,26.3,20.3,1.9,2
11.0,12.0,4.1,13.550000000000002,,1.9,2
15.0,34.0,0.1,4.6,,1.9,2
60.0,55.0,3.5,3.1,,,0
49.0,62.0,1.8,14.7,14.7,0.6,0
54.5,34.0,3.5,8.899999999999999,16.8,0.6,4
14.0,48.0,,6.4,15.749999999999993,0.6,2
12.0,23.0,2.7,2.3,31.0,0.4,1
20.0,38.0,2.7,7.2,20.3,0.4,4
20.0,55.0,2.7,12.4,22.8,0.4,4
12.0,9.0,,0.6,21.549999999999997,,2
17.0,32.0,0.1,16.5,22.8,,2
11.0,23.0,0.1,0.1,10.5,0.5,2
18.0,48.0,0.1,12.3,18.6,0.5,4
9.0,64.0,0.1,2.3,29.3,12.6,4
17.0,26.0,0.1,0.6,10.5,1.9,2
21.0,57.0,0.1,4.2,26.9,0.7,4
22.0,49.0,0.1,16.5,15.9,1.2999999999999998,4
34.0,17.0,,13.8,21.39999999999999,7.6,2
9.0,21.0,0.1,6.0,15.9,0.6,2
19.0,22.0,0.1,9.899999999999999,,4.1,2
13.0,21.5,0.1,16.0,,0.6,2
20.0,38.0,0.1,6.9,24.0,0.6,4
48.0,39.0,0.1,10.3,12.0,2.0,4
14.0,46.0,0.1,2.8,26.4,1.2999999999999996,4
9.0,42.5,0.1,4.6,19.199999999999992,1.6,2
8.0,46.0,,3.6999999999999993,26.4,1.6,2
31.0,54.0,,15.2,,1.6,0
7.0,54.0,,15.2,,,2
8.0,8.0,,15.2,,,2
18.0,39.0,0.1,8.2,,,4
30.0,65.0,0.1,8.2,,,0
7.0,21.0,0.1,8.2,,2.3,2
16.0,9.0,,1.9,33.7,2.3,1
20.0,42.0,,1.9,21.6,2.3,4
15.0,25.5,,3.4,27.649999999999995,3.0,2
20.0,33.0,,6.9,23.2,3.0,4
11.0,33.0,,2.9,23.2,0.9,2
15.0,20.0,,4.7,28.8,0.9,1
35.0,67.0,4.4,18.9,3.9,3.5,0
33.0,27.0,4.4,8.2,16.349999999999994,3.5,2
23.0,52.0,4.4,7.4,3.9,3.5,0
19.0,47.0,2.7,7.1,22.6,0.9,4
7.0,13.0,2.7,31.1,4.1,2.1,2
22.0,38.0,0.1,8.7,21.0,3.8,4
16.0,1.0,3.4,13.0,48.1,4.3,1
10.0,50.0,2.3,3.8,50.7,4.3,4
9.0,25.0,3.4,9.3,37.6,1.5,1
16.0,50.0,2.8499999999999996,18.6,29.6,2.9,4
6.0,21.0,3.4,5.6,40.8,1.5,1
9.0,21.0,4.5,5.6,40.8,1.5,1
13.0,38.0,1.2,2.8,45.6,2.9,4
17.0,61.0,0.1,22.3,45.6,5.8,4
11.0,42.0,3.4,9.3,48.8,1.5,4
11.0,38.0,3.4,11.2,40.8,2.9,4
10.0,38.0,2.3,5.6,42.4,2.9,4
15.0,46.0,2.3,3.8,40.0,1.5,4
12.0,1.0,3.4,6.5,48.8,2.9,1
15.0,53.0,2.3,6.5,48.8,1.5,4
10.0,34.0,2.85,6.5,48.8,1.5,2
9.0,21.0,2.3,2.8,43.2,1.5,1
10.0,55.0,3.4,4.7,35.2,1.5,4
15.0,50.0,3.4,12.1,46.5,1.5,4
9.0,38.0,3.4,4.7,38.4,1.5,4
9.0,42.0,2.3,1.9,48.8,2.9,4
9.0,13.0,2.85,3.3000000000000016,43.599999999999994,2.2,2
14.0,42.0,3.4,2.8,44.0,1.5,4
7.0,25.0,2.3,11.2,36.8,1.5,1
1.0,61.0,3.4,7.5,33.6,1.5,4
6.0,17.0,5.6,3.8,40.0,1.5,1
16.0,53.0,5.6,6.5,49.6,1.5,4
12.0,30.0,3.4,9.3,38.4,1.5,1
9.0,34.0,2.3,4.7,38.4,1.5,1
10.0,57.0,2.3,5.6,50.7,1.5,4
12.0,53.0,2.3,3.8,46.5,1.5,4
11.0,42.0,2.3,2.8,50.7,2.9,4
14.0,46.0,3.4,11.2,47.2,1.5,4
7.0,25.0,0.1,5.6,40.0,8.6,1
9.0,50.0,3.4,7.5,42.4,1.5,4
11.0,38.0,2.3,12.1,59.7,4.3,1
9.0,38.0,2.3,3.8,40.0,1.5,4
9.0,25.0,3.4,9.3,37.6,1.5,1
2.0,30.0,2.3,2.8,40.8,1.5,1
10.0,53.0,2.3,4.7,40.8,1.5,4
10.0,42.0,2.3,12.1,32.8,2.9,4
15.0,53.0,5.6,6.5,42.4,1.5,4
13.0,46.0,3.4,3.8,42.4,2.9,4
10.0,21.0,3.4,3.8,39.2,1.5,1
19.0,63.0,3.4,14.9,41.6,1.5,4
10.0,46.0,2.3,11.2,40.0,1.5,4
9.0,34.0,1.2,4.7,37.6,1.5,1
10.0,42.0,2.3,2.8,43.2,1.5,4
13.0,63.0,1.2,1.9,42.4,1.5,4
15.0,50.0,4.5,13.0,44.0,1.5,4
12.0,59.0,2.8499999999999996,4.7,36.8,1.5,4
8.0,42.0,2.3,2.8,40.0,1.5,4
10.0,30.0,3.4,7.5,36.8,4.3,1
10.0,46.0,3.4,3.8,44.0,1.5,4
8.0,53.0,1.2,1.9,37.6,1.5,4
8.0,21.0,3.4,19.5,36.8,1.5,1
11.0,42.0,2.3,2.8,50.7,2.9,4
17.0,46.0,2.3,7.5,29.6,2.9,4
11.0,25.0,3.4,7.5,38.4,1.5,1
10.0,46.0,2.849999999999999,2.8,46.5,1.5,4
15.0,50.0,4.5,13.0,44.0,1.5,4
9.0,57.0,2.3,1.9,44.0,1.5,4
15.0,46.0,3.4,8.4,44.0,1.5,4
10.0,30.0,2.8499999999999988,3.8,40.8,1.5,1
5.0,46.0,1.2,1.9,47.2,1.5,4
13.0,53.0,3.4,7.5,40.8,1.5,4
10.0,38.0,3.4,8.4,44.8,1.5,4
8.0,1.0,3.4,5.6,43.2,2.9,1
10.0,25.0,2.3,6.5,42.4,1.5,1
10.0,25.0,2.3,5.6,38.4,2.9,1
2.0,17.0,3.4,7.5,13.6,1.5,2
9.0,21.0,4.5,5.6,40.8,1.5,1
11.0,38.0,2.3,2.8,47.2,1.5,4
18.0,53.0,3.4,15.8,33.6,10.0,4
8.0,30.0,2.3,7.5,36.1,1.5,1
13.0,29.0,7.5,11.65,4.3,1.4,2
10.0,25.0,2.3,2.8,44.0,1.5,1
9.0,30.0,2.3,6.5,40.8,1.5,1
11.0,38.0,0.1,5.6,42.4,1.5,4
9.0,34.0,2.3,4.7,38.4,1.5,1
10.0,30.0,3.4,8.4,37.6,1.5,1
11.0,30.0,3.4,1.9,40.8,1.5,1
17.0,53.0,3.4,6.5,47.2,1.5,4
14.0,34.0,4.5,2.8,44.8,1.5,1
11.0,42.0,2.3,2.8,45.6,1.5,4
13.0,57.0,3.4,3.8,44.0,2.9,4
10.0,38.0,3.4,11.2,36.1,2.9,4
9.0,34.0,2.3,7.5,38.4,1.5,1
20.0,59.0,12.1,36.6,0.3,0.8,0
12.0,13.0,1.9,7.8,0.3,0.2,2
32.0,77.0,7.0,22.2,0.3,0.5,0
19.0,25.0,1.0,8.7,18.8,2.4,4
18.0,25.0,1.0,8.7,23.3,0.6,1
4.0,11.0,5.6,11.2,28.9,7.8,1
11.0,21.0,1.9,14.7,29.1,4.2,1
19.0,25.0,1.9,8.3,25.8,0.6,1
22.0,25.0,2.5,15.6,27.449999999999992,0.3,2
7.0,9.0,1.9,5.1,0.3,1.1,2
20.0,25.0,1.9,16.0,0.3,0.8,2
34.0,38.0,1.2,8.3,30.7,0.3,4
20.0,25.0,8.2,14.2,30.7,0.7,2
19.0,25.0,1.9,8.3,25.8,0.6,1
22.0,25.0,2.5,15.6,25.8,0.3,2
4.0,11.0,5.6,11.2,28.9,7.8,1
26.0,30.0,1.6,12.4,23.0,4.05,4
11.0,30.0,3.5,12.8,5.7,0.3,2
56.0,30.0,7.5,27.0,14.349999999999994,0.8,2
11.0,30.0,3.5,12.8,5.7,0.3,2
22.0,25.0,2.5,15.6,5.7,0.3,2
26.0,30.0,1.6,12.4,23.0,0.3,4
44.0,21.0,1.0,11.5,20.3,1.1,4
8.0,25.0,1.0,9.6,21.64999999999999,3.2,2
19.0,25.0,1.9,6.0,30.7,0.3,1
10.0,17.0,1.9,0.5,23.5,0.7,1
26.0,30.0,1.6,12.4,23.0,0.49999999999999956,4
34.0,38.0,1.2,8.3,30.7,0.3,4
46.0,34.0,1.4000000000000001,24.1,26.849999999999994,3.5,2
16.0,13.0,1.0,11.5,71.5,1.0,1
20.0,59.0,12.1,36.6,0.3,0.8,0
56.0,36.0,7.5,27.0,35.89999999999999,0.8,2
4.0,11.0,5.6,11.2,28.9,7.8,1
28.0,25.0,1.0,14.2,25.8,0.6,4
44.0,21.0,1.0,11.5,20.3,1.1,4
14.0,17.0,1.9,9.2,2.3,1.1,2
29.0,21.0,1.0,5.5,2.0,1.1,2
14.0,21.0,1.0,5.5,2.0,1.1,2
27.0,21.0,3.7,20.6,2.0,,2
7.0,9.0,1.9,5.1,0.3,1.1,2
20.0,25.0,8.2,14.2,0.3,0.7,2
16.0,13.0,1.0,11.5,71.5,1.0,1
27.0,21.0,3.7,20.6,71.5,0.8499999999999994,2
27.0,21.0,3.7,20.6,71.5,1.0,2
27.0,21.0,1.9,14.7,29.1,,1
27.0,21.0,2.5,12.8,20.3,1.6,4
20.0,46.0,1.2,20.6,24.5,1.0,4
4.0,11.0,5.6,11.2,28.9,7.8,1
7.0,9.0,1.9,5.1,0.3,1.1,2
20.0,46.0,1.2,20.6,24.5,1.0,4
16.0,13.0,1.0,11.5,71.5,1.0,1
4.0,11.0,5.6,11.2,28.9,7.8,1
20.0,25.0,1.9,16.0,50.19999999999999,0.8,2
1.0,2.0,3.749999999999999,13.599999999999998,28.9,4.3,2
21.0,30.0,1.6,17.4,,0.2,2
25.0,80.0,1.6,17.4,,0.2,0
20.0,25.0,8.2,14.2,,0.7,2
19.0,25.0,1.0,8.7,18.8,2.4,4
20.0,25.0,1.9,16.0,18.8,0.8,2
19.0,25.0,1.0,8.7,18.8,2.4,4
30.0,38.0,0.3,7.8,7.8,0.3,4
28.0,25.0,1.0,14.2,25.8,0.6,4
19.0,25.0,1.9,8.3,25.8,0.6,1
22.0,25.0,2.5,15.6,25.8,0.3,2
26.0,30.0,1.6,12.4,23.0,0.4499999999999995,4
4.0,12.0,0.5,1.1,38.9,27.8,1
11.0,30.0,3.5,12.8,5.7,0.3,2
44.0,21.0,1.0,11.5,20.3,1.1,4
14.0,17.0,1.9,9.2,2.3,1.1,2
16.0,13.0,1.0,11.5,71.5,1.0,1
26.0,30.0,1.6,12.4,23.0,1.0499999999999998,4
30.0,38.0,0.3,7.8,7.8,0.3,4
1.0,5.0,2.3,18.6,29.4,3.4,1
28.0,9.0,1.7,8.3,2.0,1.85,2
19.0,25.0,1.0,8.7,18.8,2.4,4
1.0,5.0,2.3,18.6,29.4,3.4,1
21.0,30.0,1.6,17.4,24.1,0.2,2
34.0,38.0,1.2,8.3,30.7,0.3,4
27.5,17.0,1.4,2.1,29.6,0.25,1
34.0,16.0,1.2,5.199999999999999,33.6,0.3,1
,19.0,,10.2,30.4,,1
,16.0,1.7,4.7,28.1,,1
7.0,21.0,1.6,1.0,13.9,0.6,2
6.0,12.0,1.0,3.8,13.5,0.1,2
6.5,14.0,2.3,0.1,1.0,1.5,2
6.0,29.0,1.65,1.949999999999998,7.249999999999999,0.8,2
,13.0,2.3,14.7,25.6,1.5,1
16.0,48.0,,14.7,23.3,,4
16.0,33.0,,14.7,21.6,,4
22.0,42.0,0.9,6.5,30.7,0.7,4
10.0,22.0,0.1,3.2,11.0,0.3,2
16.0,55.0,0.5,4.849999999999998,24.1,0.5,4
5.0,11.0,0.1,3.2,13.9,0.3,2
5.0,29.0,,11.5,20.8,,1
5.0,34.0,,11.5,17.35,,2
,21.0,2.3,5.6,9.6,,2
18.0,35.0,2.3,5.6,19.2,,4
18.0,34.0,2.3,5.6,14.399999999999999,,2
6.0,16.0,2.3,5.0,29.6,,1
12.0,8.0,2.3,1.0,36.8,,1
6.0,33.0,2.3,2.9999999999999982,11.8,,2
